,T200G,T200b200G,T200Gs,T200b200Gs,T200Gt,T200b200Gt,T200Gmt,T200b200Gmt,T200Gmst,T200b200Gmst
LGBM Regressor (catagorical),0.441703,0.437444,0.417741,0.439364,0.42541,0.429966,0.423965,0.442146,0.438136,0.44985
CatBoost Regressor (catagorical),0.439402,0.443551,0.44063,0.443839,0.447546,0.434905,0.446119,0.457244,0.425917,0.43742
